Latitude,Longitude
40.834209,-73.94175
40.704559,-73.960358
40.67902,-73.957138
40.815212,-73.857903
40.796288,-73.948425
40.841984,-73.93576
40.668091,-73.874825
40.856453,-73.863548
40.735027,-73.955299
40.666721,-73.953873
40.845074,-73.901901
40.602341,-74.002678
40.784962,-73.836601
40.784908,-73.836609
40.854382,-73.829697
40.709888,-73.952423
40.700924,-73.830978
40.830395,-73.941917
40.833141,-73.879562
40.826324,-73.939781
40.724426,-74.003296
40.720146,-73.98793
40.749977,-73.977425
40.803379,-73.951759
40.708069,-73.787354
40.725048,-73.987556
40.862156,-73.822556
40.597813,-73.976974
40.727318,-73.788712
40.583843,-73.953308
40.834213,-73.936043
40.663059,-73.92675
40.746014,-73.995651
40.862156,-73.822556
40.783382,-73.847801
40.719898,-73.983887
40.667992,-73.892586
40.722389,-73.991959
40.845203,-73.887848
40.864536,-73.888939
40.804691,-73.947311
40.856174,-73.84201
40.678127,-73.911217
40.642502,-73.948433
40.787304,-73.973396
40.682503,-73.875519
40.787304,-73.973396
40.68829,-73.937622
40.594986,-73.987343
40.796288,-73.948425
40.59676,-73.969261
40.646782,-74.00663
40.71349,-73.957062
40.697212,-73.905113
40.717094,-73.995018
40.669445,-73.951172
40.836784,-73.910217
40.682503,-73.875519
40.675999,-73.915878
40.734104,-73.952713
40.638493,-74.014938
40.635441,-73.99086
40.661404,-73.997429
40.835838,-73.945
40.679329,-73.914413
40.719898,-73.983887
40.771503,-73.964111
40.608521,-74.015717
40.677479,-73.982605
40.693039,-73.799744
40.731556,-74.001389
40.650448,-74.008904
40.770927,-73.982529
40.625908,-74.026695
40.705521,-74.007385
40.677074,-74.000267
40.675034,-73.9991
40.742249,-73.917252
40.768169,-73.955116
40.641472,-73.959938
40.728813,-73.819115
40.594032,-73.943336
40.66317,-73.892761
40.829365,-73.948929
40.756912,-73.993408
40.788681,-73.942307
40.770641,-73.957382
40.722664,-73.902802
40.742203,-73.917259
40.781429,-73.979965
