date,start,finish,worked_on,total hours worked
07/24/15,12:30:00 PM,04:30:00 PM,worked on tracking website for Angelyn,4
07/25/15,05:00:00 PM,07:00:00 PM,worked on tracking website for Angelyn,2
07/26/15,05:00:00 PM,07:00:00 PM,worked on demo,2
07/27/15,05:00:00 PM,07:00:00 PM,worked on demo,2
07/28/15,05:00:00 PM,07:00:00 PM,worked on demo,2
07/29/15,05:00:00 PM,07:00:00 PM,worked on demo,2
07/30/15,08:30:00 AM,05:30:00 PM,coordinator event,10
07/31/15,08:00:00 AM,12:00:00 PM,coordinator event,4
07/31/15,01:00:00 PM,03:00:00 PM,coordinator event,2
08/03/15,05:00:00 PM,07:00:00 PM,worked on front end of website for angelyn,2
08/06/15,05:00:00 PM,07:00:00 PM,worked out front end for website for angelyn,2
08/06/15,03:00:00 PM,04:30:00 PM,Call with Marian and then Ziba,1.5
08/10/15,04:45:00 PM,06:00:00 PM,Weekly update,1.25
08/13/15,04:00:00 PM,06:30:00 PM,Call with Marian and api for Marian,2.5
08/17/15,02:30:00 PM,03:30:00 PM,Weekly update,1
08/20/15,10:00:00 AM,12:00:00 PM,Milcord call and 10am call with people from Europe,2
08/21/15,10:00:00 AM,02:00:00 PM,finished website for angelyn,4
08/21/15,03:30:00 PM,04:30:00 PM,Simon,1
08/21/15,01:00:00 PM,02:00:00 PM,call with delaney and dhakir,1
08/24/15,09:30:00 AM,12:00:00 PM,"call with delaney, ziba, dhakir, worked on automated posting",
